"id","Coin","Balance","Available Balance","USD Value"
"USD","USD","0","","0"
"USDC, TUSD, USDP, BUSD","USDC, TUSD, USDP, BUSD","","",""
"USDT","USDT","0","","0"
"BTC","BTC","0","","0"
"ETH","ETH","0","","0"
"BCH","BCH","0","","0"
"LTC","LTC","0","","0"
"PAXG","PAXG","0","","0"
"CUSDT","CUSDT","0","","0"
"SOL","SOL","0","","0"
"EUR","EUR","0","","0"
"GBP","GBP","0","","0"
"AUD","AUD","0","","0"
"CAD","CAD","0","","0"
"CHF","CHF","0","","0"
"LINK","LINK","0","","0"
"YFI","YFI","0","","0"
"SUSHI","SUSHI","0","","0"
"UNI","UNI","0","","0"
"BAT","BAT","0","","0"
"WBTC","WBTC","0","","0"
"DOGE","DOGE","0","","0"
"BRZ","BRZ","0","","0"
"TRX","TRX","0","","0"
"GRT","GRT","0","","0"
"DAI","DAI","0","","0"
"MKR","MKR","0","","0"
"AAVE","AAVE","0","","0"
"MATIC","MATIC","0","","0"
"MXN","MXN","0","","0"
"SHIB","SHIB","0","","0"
"KSHIB","KSHIB","0","","0"
"AVAX","AVAX","0","","0"
"NEAR","NEAR","0","","0"
"ALGO","ALGO","0","","0"
"GHS","GHS","0","","0"
"ETHW","ETHW","0","","0"
"XOF","XOF","0","","0"
"ILS, PHP, etc.","ILS, PHP, etc.","","",""
